Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
135;EXEL;Exelixis, Inc.;45,6;1,81%;4,62;4,00;3,95;C+;A;A+;A;B+
136;MCB;Metropolitan Bank Holding Corp.;72,97;-1,74%;4,62;4,00;4,33;B-;C+;C;A;A+
137;SMP;Standard Motor Products, Inc.;32,64;-1,00%;4,62;4,00;5,00;B;C+;D+;B+;A+
138;ATGE;Adtalem Global Education Inc.;115,12;0,72%;4,61;4,00;4,75;C;B+;A-;A-;A+
139;CFG;Citizens Financial Group, Inc.;49,49;0,43%;4,61;3,50;4,25;B;A-;B-;A-;B-
140;VTOL;Bristow Group Inc.;36,01;-2,39%;4,60;4,00;5,00;C-;A-;D+;A-;A+
141;PSTL;Postal Realty Trust, Inc.;14,39;-0,55%;4,60;4,00;4,12;B+;A;C-;A-;A-
142;PLMR;Palomar Holdings, Inc.;132,52;0,57%;4,60;4,00;4,12;D;A;A;B+;B+
143;SPWH;Sportsman's Warehouse Holdings, Inc.;3,41;-3,13%;4,59;3,50;4,60;C+;C-;D+;A+;A-
144;CYD;China Yuchai International Limited;23,43;-0,42%;4,59;4,00;4,00;A;C-;C-;A+;C+
145;GLDD;Great Lakes Dredge & Dock Corporation;11,55;1,49%;4,57;4,00;4,66;A-;A;D;C+;A-
146;CADE;Cadence Bank;36,42;3,94%;4,57;4,00;3,90;C;C;C+;B-;B+
147;OHI;Omega Healthcare Investors, Inc.;39,11;0,28%;4,57;4,00;3,80;A-;C;A-;B+;A-
148;PFS;Provident Financial Services, Inc.;19,04;3,76%;4,57;4,00;4,33;A-;B;C+;C-;B+
149;SRAD;Sportradar Group AG;28,51;1,28%;4,56;4,00;4,42;D;A+;A-;A+;B+
150;STKL;SunOpta Inc.;6,64;1,22%;4,56;4,00;4,83;C-;A+;C;A-;A+
151;MX;Magnachip Semiconductor Corporation;4,14;0,73%;4,56;4,00;4,00;A+;B-;D;C;A+
152;ADSK;Autodesk, Inc.;303,28;0,72%;4,55;3,60;4,34;D;C-;A+;C+;B+
153;LEVI;Levi Strauss & Co.;20,45;-0,54%;4,55;3,50;4,25;C;C-;B;B+;A
154;EXTR;Extreme Networks, Inc.;17,85;0,79%;4,54;4,00;4,00;C-;B;C-;B+;A
155;HALO;Halozyme Therapeutics, Inc.;58,24;-0,90%;4,53;3,50;3,70;C;B;A+;B;A-
156;ADC;Agree Realty Corporation;73,52;-0,30%;4,53;3,83;4,23;D+;A-;A;B+;A-
157;IDT;IDT Corporation;57,13;-0,49%;4,53;4,00;5,00;C-;B-;C-;B+;A+
