Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
83;NHYDY;Norsk Hydro ASA ADR;7,125;2,81%;4,78;4,00;5,00;A-;A;A;B-;A+
84;MPAA;Motorcar Parts of America, Inc.;12,86;-26,01%;4,78;3,50;5,00;B;B-;C+;A+;A-
85;GLNCY;Glencore plc;9,59;1,37%;4,77;3,50;4,00;B-;B;A;B-;A
86;CSTL;Castle Biosciences, Inc.;34,74;5,15%;4,77;4,00;5,00;C+;B-;B+;A-;B+
87;TIGR;UP Fintech Holding Limited;10,62;3,51%;4,76;4,00;4,45;B+;A+;C+;A;A
88;APPS;Digital Turbine, Inc.;5,92;-1,17%;4,76;4,00;4,00;B-;A;D+;A;B+
89;GCT;GigaCloud Technology Inc.;33,77;1,99%;4,76;4,00;4,25;B-;C;B+;A+;A+
90;ENVA;Enova International, Inc.;127,06;1,76%;4,76;4,50;4,50;A-;B+;B-;A;A
91;FSI;Flexible Solutions International, Inc.;8,48;2,17%;4,76;5,00;5,00;C-;B+;C;A-;A+
92;PBR;Petróleo Brasileiro S.A. - Petrobras;13,01;1,17%;4,75;3,66;4,21;A;C;A+;C;B
93;AEM;Agnico Eagle Mines Limited;167,92;4,03%;4,75;4,00;4,20;D+;A-;A+;B+;A-
94;SYF;Synchrony Financial;74,7;2,06%;4,75;3,66;4,13;B-;B;A+;A-;B
95;ECO;Okeanis Eco Tankers Corp.;34,13;1,82%;4,74;4,00;4,66;C;C+;A-;A;A
96;AMRC;Ameresco, Inc.;35,91;1,81%;4,74;4,00;4,16;B;A;D;A+;B+
97;APTV;Aptiv PLC;82,56;-1,31%;4,73;4,00;4,09;C;C+;B+;A-;A-
98;EQX;Equinox Gold Corp.;12,21;4,27%;4,73;4,50;4,60;C-;A+;B;A;C
99;CCL;Carnival Corporation & plc;26,89;0,60%;4,73;3,87;4,32;C+;A-;A;B;A+
100;NHI;National Health Investors, Inc.;76,72;-0,10%;4,73;4,00;4,50;C;C-;A;B;A+
101;CTM;Castellum, Inc.;1,22;1,67%;4,73;4,00;4,00;B-;A+;D+;A-;B+
102;ALLY;Ally Financial Inc.;39,27;0,00%;4,73;4,50;4,00;A-;A+;B+;B;B-
103;MRCY;Mercury Systems, Inc.;74,65;0,78%;4,72;3,50;4,00;C-;A+;B-;A;B+
104;SBS;Companhia de Saneamento Básico do Estado de São Paulo - SABESP;25,69;0,00%;4,71;4,00;4,80;B-;A-;A-;A;A+
105;GSL;Global Ship Lease, Inc.;34,66;9,41%;4,71;4,25;4,33;A+;C-;A+;A;B
106;GILD;Gilead Sciences, Inc.;118,15;-0,58%;4,70;4,00;4,28;C+;B-;A+;B-;B+
107;VEON;VEON Ltd.;50;14,77%;4,70;4,00;5,00;A;B;A-;B;A-
108;HIG;The Hartford Insurance Group, Inc.;130,86;1,12%;4,70;4,00;3,76;D+;C+;A;B;B+
109;HST;Host Hotels & Resorts, Inc.;18,18;1,91%;4,70;3,60;4,15;B-;A-;B;A;A
110;EVER;EverQuote, Inc.;26,45;4,01%;4,69;4,00;4,00;D+;A+;B+;B+;A
111;ECG;Everus Construction Group, Inc.;100,85;3,11%;4,69;4,00;4,00;C-;B;B-;A;A+
112;HTHT;H World Group Limited;44,61;8,62%;4,69;3,50;4,62;C-;C;A-;A-;A+
